FSQDZb7Emi4|-35:17:28|-32:00:00
3ZJOQMYA0YY|-32:00:00|-24:00:00
OppRtGMbwaU|-24:00:00|-16:00:00
O15ZcozHKKk|-16:00:00|-08:00:00
9ZgCKnTGRr4|-08:00:00|-01:00:00
SbiWcgdMHEM|-01:00:00|001:00:00
Ha3b8azcgNg|001:00:00|008:00:00
An-8O2Q9SfE|008:00:00|016:00:00
2qPhJUeiZ7c|016:00:00|024:00:00
u_I3B2Ng_4g|024:00:00|032:00:00
hYb5Q9z6QZQ|032:00:00|040:00:00
AFZWoy_amhA|040:00:00|048:00:00
1EdorvwCI80|048:00:00|056:00:00
swliotFDxDs|056:00:00|064:00:00
usjsgmaQF_k|064:00:00|072:00:00
EFUhAzgTaHs|072:00:00|080:00:00
4j1h_hSn9Ok|080:00:00|088:00:00
pwvc4gIFaZM|088:00:00|096:00:00
fMJYMXs6WvU|096:00:00|104:00:00
cq4dFBUVjho|104:00:00|112:00:00
zLOkSR3HqIc|112:00:00|120:00:00
v3L_QyD0bMQ|120:00:00|128:00:00
Ci0PNflKMDk|128:00:00|136:00:00
oahDwuc8ghg|136:00:00|144:00:00
XwCfk91kwfQ|144:00:00|152:00:00
